(he1 -0.084)(he2 0)(lae1 0.0516)(lae2 0.1958)(lae3 0.1738)(lae4 0.0221)(rae1 0.0516)(rae2 -0.2267)(rae3 -0.1737)(rae4 -0.0221)(lle1 0.0177)(lle2 0.0029)(lle3 -0.0103)(lle4 0.0736)(lle5 -0.0338)(lle6 -0.0074)(rle1 0.0177)(rle2 -0.0029)(rle3 -0.0323)(rle4 0.106)(rle5 -0.0309)(rle6 0.0074)
(he1 -0.0029)(he2 0)(lae1 0.0014)(lae2 0.0074)(lae3 0.0044)(lae4 -0.0001)(rae1 0.0014)(rae2 -0.0073)(rae3 -0.0059)(rae4 0)(lle1 0)(lle2 0)(lle3 0)(lle4 0.003)(lle5 -0.0015)(lle6 0)(rle1 0)(rle2 0)(rle3 -0.0015)(rle4 0.0045)(rle5 -0.0015)(rle6 0)
(he1 -0.003)(he2 0)(lae1 0.0015)(lae2 0.0059)(lae3 0.0045)(lae4 0)(rae1 0.0015)(rae2 -0.0059)(rae3 -0.0044)(rae4 0)(lle1 0)(lle2 0)(lle3 0)(lle4 0.0014)(lle5 -0.0015)(lle6 0)(rle1 0)(rle2 0)(rle3 -0.0015)(rle4 0.0029)(rle5 -0.0015)(rle6 0)
(he1 -0.0014)(he2 0)(lae1 -11.1985)(lae2 -7.96602)(lae3 0.0029)(lae4 0.16)(rae1 -11.1985)(rae2 7.96602)(rae3 -0.0029)(rae4 -0.16)(lle1 0)(lle2 0)(lle3 0.208953)(lle4 0.0015)(lle5 -0.0015)(lle6 0)(rle1 0)(rle2 0)(rle3 0.209053)(rle4 0.003)(rle5 0.0001)(rle6 0)
(he1 -0.0015)(he2 0)(lae1 -10.4985)(lae2 -7.46937)(lae3 0.003)(lae4 0.15)(rae1 -10.5001)(rae2 7.46777)(rae3 -0.003)(rae4 -0.15)(lle1 0)(lle2 0)(lle3 0.195894)(lle4 0.0015)(lle5 0.0001)(lle6 0)(rle1 0)(rle2 0)(rle3 0.195894)(rle4 0.0014)(rle5 0)(rle6 0)
(he1 -0.0015)(he2 0)(lae1 -9.3753)(lae2 -6.34927)(lae3 0.0014)(lae4 0.1212)(rae1 -9.3752)(rae2 6.34777)(rae3 -0.0014)(rae4 -0.1212)(lle1 0)(lle2 0)(lle3 0.157494)(lle4 0.0015)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 0.157494)(rle4 0.0015)(rle5 0)(rle6 0)
(he1 -0.0015)(he2 0)(lae1 -8.3207)(lae2 -5.29927)(lae3 0.0015)(lae4 0.0958)(rae1 -8.3207)(rae2 5.29777)(rae3 -0.0015)(rae4 -0.0958)(lle1 0)(lle2 0)(lle3 0.123094)(lle4 -0.0001)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 0.123094)(rle4 0.0015)(rle5 0)(rle6 0)
(he1 0.0001)(he2 0)(lae1 -7.2662)(lae2 -4.24767)(lae3 0.0015)(lae4 0.0751)(rae1 -7.2678)(rae2 4.24777)(rae3 -0.0015)(rae4 -0.0751)(lle1 0)(lle2 0)(lle3 0.0965936)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 0.0965936)(rle4 0.0015)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 -6.2133)(lae2 -3.34977)(lae3 0.0015)(lae4 0.0589)(rae1 -6.2132)(rae2 3.34977)(rae3 -0.0015)(rae4 -0.0589)(lle1 0)(lle2 0)(lle3 12.987)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 12.987)(rle4 -0.0001)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 -5.1587)(lae2 -2.63267)(lae3 -0.0001)(lae4 0.0472)(rae1 -5.1587)(rae2 2.63267)(rae3 0.0001)(rae4 -0.0472)(lle1 0)(lle2 0)(lle3 12.1639)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 12.1639)(rle4 0)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 -4.109)(lae2 -2.07007)(lae3 0)(lae4 0.0368)(rae1 -4.109)(rae2 2.06847)(rae3 0)(rae4 -0.0368)(lle1 0)(lle2 0)(lle3 11.0402)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 11.0402)(rle4 0)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 -3.2366)(lae2 -1.62507)(lae3 0)(lae4 0.0279)(rae1 -3.2366)(rae2 1.62517)(rae3 0)(rae4 -0.0295)(lle1 0)(lle2 0)(lle3 9.9841)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 9.9857)(rle4 0)(rle5 0)(rle6 0)
